output_variable_name,output_display_name,internal_notes,display_notes,cost_type
cb:wali:technical_cost:sanitation:unimp_rural,Sanitation cost (unimproved rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:imp_rural,Sanitation cost (improved rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:safeman_rural,Sanitation cost (safely managed rural),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:unimp_urban,Sanitation cost (unimproved urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:imp_urban,Sanitation cost (improved urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:safeman_urban,Sanitation cost (safely managed urban),ND,"Domestic sanitation and wastewater treatment costs are based on Tables D.1 and E.1 in Hutton & Varughese (2016), Table A.4.1 in Brichetti et al (2021), Table 1 in Dodane et al. (2012), and Daudey (2018). Average wastewater produced in LAC is based on Table 4 in Jones et al (2021). We assume industrial wastewater treatment costs the same as domestic wastewater treatment per quantity of treated water. The full cost of safely managed sanitation in urban settings is the cost of the sanitation system (per capita) and the cost of treating the collected wastewater (per m3) using one of the wastewater treatment systems.",system_cost
cb:wali:technical_cost:sanitation:omit_rural,Sanitation cost (omit rural),ND,There should be no people in this category,system_cost
cb:entc:technical_cost:electricity:capex,Electricity production (CapEx),none,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:entc:technical_cost:electricity:opex,Electricity production (OpEx),none,Costs of electricity and fuels are endogenously calcuated in NemoMod,system_cost
cb:entc:technical_cost:electricity:transmission,Electricity production (Tx),ND,"Gorman, Will, Andrew Mills, and Ryan Wiser. Improving estimates of transmission capital costs for utility-scale wind and solar projects to inform renewable energy policy. Energy Policy 135 (2019): 110994.",system_cost
