strategy_code,transformation_name
TX:AGRC:DEC_CH4_RICE,Improve rice management
TX:AGRC:DEC_EXPORTS,Decrease Exports
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce supply chain losses
TX:AGRC:INC_CONSERVATION_AGRICULTURE,Expand conservation agriculture
TX:AGRC:INC_PRODUCTIVITY,Improve crop productivity
TX:CCSQ:INC_CAPTURE,Increase direct air capture
TX:ENTC:DEC_LOSSES,Reduce transmission losses
TX:ENTC:TARGET_CLEAN_HYDROGEN,Clean hydrogen
TX:ENTC:TARGET_RENEWABLE_ELEC,95% of electricity is generated by renewables in 2050
TX:FGTV:DEC_LEAKS,Minimize leaks
TX:FGTV:INC_FLARE,Shift from venting to flaring
TX:INEN:INC_EFFICIENCY_ENERGY,Maximize industrial energy efficiency
TX:INEN:INC_EFFICIENCY_PRODUCTION,Maximize industrial production efficiency
TX:INEN:SHIFT_FUEL_HEAT,Fuel switch high- and low-temp thermal processes. 
TX:IPPU:DEC_CLINKER,Reduce cement clinker
TX:IPPU:DEC_DEMAND,Demand management
TX:IPPU:DEC_HFCS,Reduce use of HFCs
TX:IPPU:DEC_N2O,Reduce Nitrous Oxide emissions
TX:IPPU:DEC_OTHER_FCS,Reduce other fluorinated compounds
TX:IPPU:DEC_PFCS,Reduce use of PFCs
TX:LNDU:DEC_DEFORESTATION,Stop deforestation
TX:LNDU:DEC_SOC_LOSS_PASTURES,Expand sustainable grazing practices
TX:LNDU:INC_REFORESTATION,Increase Reforestation
TX:LNDU:INC_SILVOPASTURE,Expand silvopasture
TX:LSMM:INC_CAPTURE_BIOGAS,Increase biogas capture at anaerobic decomposition facilities
TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,Improve manure management for cattle and pigs
TX:LSMM:INC_MANAGEMENT_OTHER,Improve manure management for other animals
TX:LSMM:INC_MANAGEMENT_POULTRY,Improve manure management for poultry
TX:LVST:DEC_ENTERIC_FERMENTATION,Reduce enteric fermentation
TX:LVST:DEC_EXPORTS,Decrease exports
TX:LVST:INC_PRODUCTIVITY,Increase livestock productivity
TX:PFLO:INC_HEALTHIER_DIETS,Change diets
TX:PFLO:INC_IND_CCS,Industrial carbon capture and sequestration
TX:SCOE:DEC_DEMAND_HEAT,Reduce end-use demand for heat energy by improving building shell
TX:SCOE:INC_EFFICIENCY_APPLIANCE,Increase appliance efficiency
TX:SCOE:SHIFT_FUEL_HEAT,"Switch to electricity for heat using heat pumps, electric stoves, etc."
TX:SOIL:DEC_LIME_APPLIED,Improve lime application
TX:SOIL:DEC_N_APPLIED,Improve fertilizer application
TX:TRDE:DEC_DEMAND,Reduce demand for transport
TX:TRNS:INC_EFFICIENCY_ELECTRIC,Increase electric transportation energy efficiency
TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,Increase non-electric transportation energy efficiency
TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,Increase occupancy for private vehicles
TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,Electrify light duty road transport
TX:TRNS:SHIFT_FUEL_MARITIME,Fuel switch maritime
TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Fuel switch medium duty road transport
TX:TRNS:SHIFT_FUEL_RAIL,Electrify rail
TX:TRNS:SHIFT_MODE_FREIGHT,Mode shift freight
TX:TRNS:SHIFT_MODE_PASSENGER,Mode shift passenger vehicles to others
TX:TRNS:SHIFT_MODE_REGIONAL,Mode shift regional passenger travel
TX:WALI:INC_CAPTURE_BIOGAS,Increase biogas capture (liquid waste)
TX:WALI:INC_COMPLIANCE_SEPTIC,Increase septic compliance
TX:WALI:INC_TREATMENT_INDUSTRIAL,Improved industrial wastewater treatment
TX:WALI:INC_TREATMENT_RURAL,Improved rural wastewater treatment
TX:WALI:INC_TREATMENT_URBAN,Improved urban wastewater treatment
TX:WASO:DEC_CONSUMER_FOOD_WASTE,Consumer food waste reduction
TX:WASO:INC_ANAEROBIC_AND_COMPOST,Increase composting and biogas
TX:WASO:INC_CAPTURE_BIOGAS,Increase biogas capture
TX:WASO:INC_ENERGY_FROM_BIOGAS,Biogas for energy production
TX:WASO:INC_ENERGY_FROM_INCINERATION,Incineration for energy production
TX:WASO:INC_LANDFILLING,Increase landfilling
TX:WASO:INC_RECYCLING,Increase recycling
