output_var_name,change_in_multiplier,strategy_code,cost_factor,cost_factor_function,strategy,comparison_code,difference_variable,output_variable_name,multiplier,annual change,sum,diff_var
cb:lvst:lvst_value:livestock_produced:buffalo,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_buffalo,cb:lvst:lvst_value:livestock_produced:buffalo,260,1,0,pop_lvst_buffalo
cb:lvst:lvst_value:livestock_produced:cattle_dairy,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_cattle_dairy,cb:lvst:lvst_value:livestock_produced:cattle_dairy,260,1,0,pop_lvst_cattle_dairy
cb:lvst:lvst_value:livestock_produced:cattle_nondairy,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_cattle_nondairy,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,260,1,0,pop_lvst_cattle_nondairy
cb:lvst:lvst_value:livestock_produced:chickens,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_chickens,cb:lvst:lvst_value:livestock_produced:chickens,2.6,1,0,pop_lvst_chickens
cb:lvst:lvst_value:livestock_produced:goats,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_goats,cb:lvst:lvst_value:livestock_produced:goats,26,1,0,pop_lvst_goats
cb:lvst:lvst_value:livestock_produced:horses,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_horses,cb:lvst:lvst_value:livestock_produced:horses,200,1,0,pop_lvst_horses
cb:lvst:lvst_value:livestock_produced:mules,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_mules,cb:lvst:lvst_value:livestock_produced:mules,200,1,0,pop_lvst_mules
cb:lvst:lvst_value:livestock_produced:pigs,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_pigs,cb:lvst:lvst_value:livestock_produced:pigs,50,1,0,pop_lvst_pigs
cb:lvst:lvst_value:livestock_produced:sheep,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,pop_lvst_sheep,cb:lvst:lvst_value:livestock_produced:sheep,26,1,0,pop_lvst_sheep
cb:agrc:crop_value:crops_produced:bevs_and_spices,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_bevs_and_spices_tonne,cb:agrc:crop_value:crops_produced:bevs_and_spices,600,1,0,yield_agrc_bevs_and_spices_tonne
cb:agrc:crop_value:crops_produced:cereals,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_cereals_tonne,cb:agrc:crop_value:crops_produced:cereals,285,1,0,yield_agrc_cereals_tonne
cb:agrc:crop_value:crops_produced:fibers,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_fibers_tonne,cb:agrc:crop_value:crops_produced:fibers,685,1,0,yield_agrc_fibers_tonne
cb:agrc:crop_value:crops_produced:fruits,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_fruits_tonne,cb:agrc:crop_value:crops_produced:fruits,700,1,0,yield_agrc_fruits_tonne
cb:agrc:crop_value:crops_produced:herbs,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_herbs_and_other_perennial_crops_tonne,cb:agrc:crop_value:crops_produced:herbs,600,1,0,yield_agrc_herbs_and_other_perennial_crops_tonne
cb:agrc:crop_value:crops_produced:nuts,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_nuts_tonne,cb:agrc:crop_value:crops_produced:nuts,875,1,0,yield_agrc_nuts_tonne
cb:agrc:crop_value:crops_produced:other_annual,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_other_annual_tonne,cb:agrc:crop_value:crops_produced:other_annual,600,1,0,yield_agrc_other_annual_tonne
cb:agrc:crop_value:crops_produced:other_woody_perennial,1,PFLO:CONSTRAINED,afolu_crop_livestock_production_cost_factors,cb_apply_cost_factors,PFLO:CONSTRAINED,LNDU:PLUR,yield_agrc_other_woody_perennial_tonne,cb:agrc:crop_value:crops_produced:other_woody_perennial,600,1,0,yield_agrc_other_woody_perennial_tonne
