output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function
cb:lvst:lvst_value:livestock_produced:buffalo,pop_lvst_buffalo,260.0,$/head,1,Value of livestock (buffalo) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:cattle_dairy,pop_lvst_cattle_dairy,260.0,$/head,1,Value of livestock (cattle - dairy) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:cattle_nondairy,pop_lvst_cattle_nondairy,260.0,$/head,1,Value of livestock (cattle - nondairy) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:chickens,pop_lvst_chickens,2.6,$/head,1,Value of livestock (chickens) ,0,$2.6/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:goats,pop_lvst_goats,26.0,$/head,1,Value of livestock (goats) ,0,$26/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:horses,pop_lvst_horses,200.0,$/head,1,Value of livestock (horses) ,0,$200/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:mules,pop_lvst_mules,200.0,$/head,1,Value of livestock (mules) ,0,$200/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:pigs,pop_lvst_pigs,50.0,$/head,1,Value of livestock (pigs) ,0,$50/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:lvst:lvst_value:livestock_produced:sheep,pop_lvst_sheep,26.0,$/head,1,Value of livestock (sheep) ,0,$26/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:agrc:crop_value:crops_produced:bevs_and_spices,yield_agrc_bevs_and_spices_tonne,600.0,$/ton,1,Value of crops (bevs and spices),0,$600/ton,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
cb:agrc:crop_value:crops_produced:cereals,yield_agrc_cereals_tonne,285.0,$/ton,1,Value of crops (cereals),0,$285/ton,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatÃ¯Â¿Â½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23,cb_apply_cost_factors
