strategy,strategy_id,primary_id,region,strategy_code,emission_co2e_total_diff,air_pollution,congestion,consumer_savings,ecosystem_services,env_pollution,fuel_cost,human_health,ippu_value,land_pollution,lvst_value,road_safety,sector_specific,system_cost,technical_cost,technical_savings,water_pollution,sector,consumer_savings_mi_CO2e,technical_cost_mi_CO2e,technical_savings_mi_CO2e,sector_specific_mi_CO2e,air_pollution_mi_CO2e,ippu_value_mi_CO2e,ecosystem_services_mi_CO2e,fuel_cost_mi_CO2e,lvst_value_mi_CO2e,human_health_mi_CO2e,land_pollution_mi_CO2e,congestion_mi_CO2e,road_safety_mi_CO2e,system_cost_mi_CO2e,water_pollution_mi_CO2e,env_pollution_mi_CO2e,net_benefit,net_benefit_mi_CO2e,additional_benefits,total_transformation_costs,total_transformation_costs_mi_CO2e,transformation_name
Remove TX:AGRC:DEC_CH4_RICE_LOWER from Unconstrained Cliamte Action,7101,138138,iran,AGRC:DEC_CH4_RICE,-14514.621025064169,62.59623040595204,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-102.24967650649239,494.88071469013397,-1239.7900604809795,179.19166733133613,23.784685575431663,AGRC,28.019630622354764,-85.41663322384254,12.34559738224677,-7.044598431466133,4.3126327788965,3.197937503030734,0.7521189624316914,5.4613234200478145,1.3300417553902102,9.72494092571179,0.009010295641207365,3.403166202950313,5.164135282047888,34.0953245582894,1.638670795080336,9.008303949904649,377.4034103773092,26.001602778715384,1617.193470858289,-981.3293534123421,-67.60971242154797,Improve rice management
Remove TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN from Unconstrained Cliamte Action,7102,139139,iran,AGRC:DEC_LOSSES_SUPPLY_CHAIN,-14492.165906917537,62.559611372369496,49.39566772113041,437.3877649060763,10.660624665330236,128.7679748726137,80.84529135926172,141.15383202784335,46.4168509183311,0.1261043756194526,19.309861381,74.95546654108796,-103.41718210311936,494.88071469013397,-1176.623870985954,78.90115095527945,23.784686664225205,AGRC,30.180979690364865,-81.19033956299913,5.444400199532466,-7.136074950242965,4.316788240914904,3.2028925984193277,0.7356129327943731,5.578551327560492,1.3324344687347829,9.740009390899015,0.008701554786870005,3.4084392932289305,5.172136934018228,34.14815410399855,1.6412099348705411,8.885350588703169,369.10454936122915,25.46924674558443,1545.7284203471831,-1016.8774286714128,-70.16738803590616,Reduce supply chain losses
Remove TX:AGRC:INC_CONSERVATION_AGRICULTURE_LOWER from Unconstrained Cliamte Action,7103,140140,iran,AGRC:INC_CONSERVATION_AGRICULTURE,-14522.917643262876,62.59623040595204,49.39566772113041,351.84209362003105,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-102.24967650649239,494.88071469013397,-1240.1532974153945,172.7661208423219,23.784685575431663,AGRC,24.22668104733412,-85.39284790275573,11.896102772604197,-7.0405740098599,4.310169068196168,3.196110592823178,0.7516892936816107,5.458203488062467,1.3292819322676208,9.719385284356003,0.00900514826072716,3.4012220501742543,5.161185127002321,34.07584666154925,1.6377346590865842,9.00315770723316,315.7624008281489,21.742352920016028,1555.9156982435436,-988.1181368357712,-68.03854164208907,Expand conservation agriculture
Remove TX:AGRC:INC_PRODUCTIVITY from Unconstrained Cliamte Action,7104,141141,iran,AGRC:INC_PRODUCTIVITY,-14491.798830786243,62.67018758376132,49.39566772113041,415.1889046076793,9.842158877924623,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.11042410634283852,19.325252457,74.95546654108796,-101.28767409621481,494.88071469013397,-1235.8776152830205,180.19621540290973,23.784685515230045,AGRC,28.64992189414442,-85.28117383588942,12.434358046711397,-6.989309973102871,4.324527846096328,3.2029737274384162,0.679153705681867,5.469924104170074,1.3335302734085444,9.74025610457533,0.007619765332945043,3.4085256287297274,5.172267943842366,34.149019074072015,1.6412514273039782,9.022490543664325,390.7762287188952,26.965336276179446,1626.6538440019158,-976.4123601428095,-67.37689168500795,Improve crop productivity
Remove TX:CCSQ:INC_CAPTURE_LOWER from Unconstrained Cliamte Action,7105,142142,iran,CCSQ:INC_CAPTURE,-14469.793809382449,62.79108728513741,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-87.70661356389594,494.88071469013397,-1219.7511412358976,179.19166733133613,23.784685575431663,CCSQ,28.106435040011085,-84.29637334880275,12.383843867570896,-6.061358905268267,4.339459712578811,3.207844667989233,0.7544490162936458,5.47824252242641,1.3341622058555038,9.755068654559329,0.009038209409114862,3.4137091635059416,5.180133699796442,34.200951389455554,1.6437473739265922,9.036211547580784,412.1802494441729,28.485564816888306,1631.9313906800708,-961.2904341672601,-66.43428695880543,Increase direct air capture
Remove TX:ENTC:DEC_LOSSES from Unconstrained Cliamte Action,7106,143143,iran,ENTC:DEC_LOSSES,-14705.170314628274,62.130095888868624,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,198.09613654568443,494.88071469013397,-1045.0418758625933,179.19166733133613,23.784685575431663,ENTC,27.656552834426858,-71.06628848922723,12.185623389419808,13.471189541315558,4.2250510915241435,3.156498695710921,0.7423730206375672,5.390555705325414,1.312807102124883,9.59892534447069,0.008893540418625093,3.359068046426707,5.097218525005756,33.65351805533603,1.617436933169781,8.891574535616648,872.0312735307891,59.300997871702165,1917.0731493933824,-786.5811687939558,-53.49010939448201,Reduce transmission losses
Remove TX:ENTC:TARGET_CLEAN_HYDROGEN_LOWER from Unconstrained Cliamte Action,7107,144144,iran,ENTC:TARGET_CLEAN_HYDROGEN,-14577.783753604175,62.736582110754576,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-93.41996811729634,494.88071469013397,-1220.0283104936555,179.19166733133613,23.784685575431663,ENTC,27.89822696095435,-83.69093211387627,12.292106287214834,-6.408379332297299,4.30357475259185,3.184081455924678,0.7488601758659955,5.437660557813055,1.3242789407016047,9.682804630226787,0.008971255766061044,3.3884209394255795,5.141760078760679,33.94759608556965,1.6315707502212875,8.969272704373035,406.1352204586319,27.85987412923587,1626.1635309522876,-961.5676034250181,-65.96116526884839,Clean hydrogen
Remove TX:ENTC:TARGET_RENEWABLE_ELEC_LOWER from Unconstrained Cliamte Action,7108,145145,iran,ENTC:TARGET_RENEWABLE_ELEC,-12720.561876063635,58.847971936274206,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,175.3628390523391,494.88071469013397,-874.0978990123058,179.19166733133613,23.784685575431663,ENTC,31.97141161751995,-68.71535294813522,14.086772980407593,13.785777763663138,4.6262085361975105,3.6489623155462962,0.8581949297383272,6.231567481815598,1.517625731873247,11.096509211079224,0.010281073102753736,3.8831356824008347,5.892465071227093,38.90399807113507,1.8697826249473666,10.278800510965771,1016.9598289351368,79.94614065348456,1891.0577279474426,-615.6371919436683,-48.39701248591203,95% of electricity is generated by renewables in 2050
Remove TX:FGTV:DEC_LEAKS_LOWER from Unconstrained Cliamte Action,7109,146146,iran,FGTV:DEC_LEAKS,-13842.289543267005,62.59623040595204,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-102.24967650649239,494.88071469013397,-1227.30473928625,179.19166733133613,23.784685575431663,FGTV,29.380567316884477,-88.66342055987555,12.945233284655307,-7.386760418996395,4.52210092920642,3.353263979433851,0.788650004129588,5.726584427347023,1.394642986382995,10.197289370854234,0.009447933172263783,3.568460807493861,5.414961615041991,35.75136274554001,1.7182623944606559,9.44584474286289,389.88873157203875,28.166491558593613,1617.193470858289,-968.8440322176124,-69.9916028478732,Minimize leaks
Remove TX:FGTV:INC_FLARE from Unconstrained Cliamte Action,7110,147147,iran,FGTV:INC_FLARE,-14443.439655320091,62.59623040595204,49.39566772113041,406.6943197457623,10.916721705460475,130.7521179114546,79.26903973730137,141.15383202784335,46.4168509183311,0.13078102655591245,19.305052027,74.95546654108796,-102.24967650649239,494.88071469013397,-1233.316240406781,179.19166733133613,23.784685575431663,FGTV,28.1577193141774,-85.38937191131626,12.406439989890687,-7.079316211829761,4.333886657178324,3.2136978466368245,0.755825618133795,5.488238371813562,1.3365965786334826,9.772868194582085,0.009054700935295605,3.4199379718345706,5.189585606326045,34.26335599414159,1.6467466298217142,9.052699428372895,383.8772304515078,26.577964779332227,1617.193470858289,-974.8555333381436,-67.49469354961204,Shift from venting to flaring
